row_no,report_rate,code_line,item_no,unit_form,unit_okei,name_nsi,note_x,footnotes,match
58,includingUnderForestCult58Ga,231,16.1.,га,059,в том числе - под лесные культуры будущего года,1,,точное
59,preparationOfTheForestAr59Ga,240,17.,га,059,Подготовка лесного участка для лесовосстановления,1,,точное
60,includingClearing60Ga,241,17.1.,га,059,в том числе расчистка,1,,точное
61,uprooting61Ga,242,17.2.,га,059,раскорчевка,1,,точное
62,reclamationWorks62Ga,,18.,га,059,Лесомелиоративные работы,1,,точное
63,forestCareTotal63Ga,250,19.,га,059,"Уход за лесами, всего",1,,точное
65,includingCareForYoungAni65Ga,252,,га,059,"в том числе: уход за молодняками (осветление, прочистка)",1,,точное
67,thinning67Ga,254,,га,059,прореживание,1,,точное
69,passingCabin69Ga,256,,га,059,проходная рубка,1,,точное
71,reconstructionInMiddleAg71Ga,258,,га,059,"реконструкция в средневозрастных, приспевающих, спелых и перестойных малоценных лесных насаждениях",1,,точное
73,renewalOfForestPlantatio73Ga,260,,га,059,обновление лесных насаждений (рубка обновления),1,,точное
75,landscapeFormationLandsc75Ga,262,,га,059,Формирования ландшафта (ландшафтная рубка),1,,по номеру строки и единице (сходство 0.97)
77,reformation77Ga,264,,га,059,переформирование,1,,точное
79,reconstructionOfYoungAni79Ga,266,,га,059,Реконструкция молодняков,1,,точное
80,afforestationTotal80Ga,270,20.,га,059,"Лесоразведение, всего",,,точное
81,includingOnForestFundLan81Ga,271,20.1.,га,059,в том числе лесоразведение на землях лесного фонда,,,точное
82,fromItPlantingForestCrop82Ga,272,20.1.1.,га,059,"из него - посадка лесных культур, всего",,5,точное
83,includingPlantingOfFores83Ga,273,20.1.1.1.,га,059,в том числе посадка лесных культур с использованием улучшенного посадочного материала,,5,точное
84,includingPlantingOfFores84Ga,274,20.1.1.2.,га,059,в том числе посадка лесных культур посадочным материалом с закрытой корневой системой,,5,точное
85,fromItPlantingForestCrop85Ga,275,20.1.1.2.1,га,059,из него посадка лесных культур с использованием улучшенного посадочного материала с закрытой корневой системой,,5,точное
86,sowingForestCropsTotal86Ga,276,20.1.2.,га,059,"посев лесных культур, всего",,4,точное
87,includingSowingForestCro87Ga,277,20.1.2.1.,га,059,в том числе посев лесных культур с использованием улучшенных семян,,4,точное
88,careOfForestPlantationsD88Ga,280,21.,га,059,"Уход за лесными культурами при лесоразведении в переводе на однократный, всего",1,,точное
89,includingManual89Ga,281,21.1.,га,059,в том числе: ручным способом,1,,точное
90,mecGanizedWay90Ga,282,21.2.,га,059,механизированным способом,1,,точное
91,byChemicalMeans91Ga,283,21.3.,га,059,химическим способом,1,,точное
92,soilPreparationForAffore92Ga,290,22.,га,059,"Подготовка почвы под лесоразведение, всего",1,,точное
93,commissioningAcceptanceO93Ga,300,23.,га,059,"Ввод (приемка) в эксплуатацию лесных насаждений, созданных при лесоразведении",1,,точное
94,reconstructionOfForestPl94Ga,310,24.,га,059,Реконструкция лесных насаждений,1,,точное
95,forestCropsTransferredTo95Ga,330,25.,га,059,"Отнесено земель, предназначенных для лесовосстановления, к землям, на которых расположены леса",1,,точное
96,youngGrowthsWereIntroduc96Ga,320,26.,га,059,Введено молодняков в категорию хозяйственно-ценных древесных насаждений,1,,точное
